id,kind,date,title_bg,title_en,transcription_type,original_language,linked_event_ids,linked_budget_item_ids,linked_place_ids,linked_organization_ids,source_ids,source_url,source_license_status,editorial_status
primary-doc-plovdiv-gifted-children-rule-2010,municipal_rule,2010-07-08,Правилник за подпомагане на деца с изявени дарби,Rule for supporting children with exceptional talents,excerpt,bg,event-programme-2010-gifted-children-support,,place-plovdiv-city,org-plovdiv-municipality|org-plovdiv-municipal-council,source-plovdiv-council-2010-gifted-children,https://plovdiv.bg/obs/%D0%B4%D0%B5%D0%B9%D1%81%D1%82%D0%B2%D0%B0%D1%89%D0%B8-%D0%B0%D0%BA%D1%82%D0%BE%D0%B2%D0%B5/%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%BD%D0%B8%D0%BA-%D0%B7%D0%B0-%D0%BF%D0%BE%D0%B4%D0%BF%D0%BE%D0%BC%D0%B0%D0%B3%D0%B0%D0%BD%D0%B5-%D0%BD%D0%B0-%D0%B4%D0%B5%D1%86%D0%B0-%D1%81-%D0%B8%D0%B7%D1%8F/,public_reference_terms_unverified,needs_editorial_signoff
primary-doc-state-gazette-pms-138-2010,state_gazette_decree,2010-07-15,Постановление №138 от 15 юли 2010 г.,Decree No. 138 of 15 July 2010,excerpt,bg,event-programme-2010-waste-infrastructure-extra-credits,,place-plovdiv-city,org-plovdiv-municipality,source-dv-pms-138-plovdiv-waste-infrastructure-2010,https://dv.parliament.bg/DVWeb/showMaterialDV.jsp?idMat=35023,public_reference_terms_unverified,needs_editorial_signoff
primary-doc-plovdiv-council-decision-58-2011,municipal_decision,2011-03-17,Решение №58 на Общински съвет — Пловдив,Plovdiv Municipal Council Decision No. 58,excerpt,bg,,budget-plovdiv-2010-execution-total,place-plovdiv-city,org-plovdiv-municipality|org-plovdiv-municipal-council,source-plovdiv-council-2010-budget-execution,https://plovdiv.bg/obs/%d0%b4%d0%b5%d0%b9%d1%81%d1%82%d0%b2%d0%b0%d1%89%d0%b8-%d0%b0%d0%ba%d1%82%d0%be%d0%b2%d0%b5/%d1%80%d0%b5%d1%88%d0%b5%d0%bd%d0%b8%d0%b5-58-1/,public_reference_terms_unverified,needs_editorial_signoff
